Days,Alabama,Alaska,Arizona,Arkansas,Belgium,California,Colorado,Connecticut,DC,Delaware,Florida,France,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Sweden,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Albania,Austria,Belarus,Denmark,Germany,Italy,Finland,Greece,Ireland,Kosovo,Netherlands,Poland,Portugal,Romania,Russia,Serbia,Spain,Switzerland,Ukraine,United Kingdom,Canada,China,India,Japan,South Africa,Brazil,Mexico,Australia,Synthetic 1,Synthetic 2,Synthetic 3,Synthetic 4,Synthetic 5,Synthetic 6,Synthetic 7,Synthetic 8,Synthetic 9,Synthetic 10,Synthetic 11,Synthetic 12,Chile
46,118,0,135,99,1620,1055,297,2109,155,134,906,4342,828,2,20,2049,361,123,107,180,481,25,581,1705,1375,243,183,171,1,100,141,71,2953,138,7532,388,40,577,27,46,1013,269,62,84,466,364,796,168,7,640,133,26,207,18,25,312,973,144,4133,3599,102,0,778,22,1174,306,750,351,5966,207,4537,400,0,5288,1168,205,991,194,318,2917,970,44,1383,1314,1320,1347,,8,140,1337,,4,53,,478
47,211,9,187,92,1664,902,376,631,167,458,806,3114,742,3,35,1827,621,175,209,175,401,8,963,1566,674,261,248,174,2,364,99,74,3881,66,7249,444,46,475,130,57,1379,218,169,107,332,488,514,173,0,636,164,33,304,16,29,247,846,193,2821,3039,85,28,493,12,964,263,181,328,6361,296,4550,279,401,4342,1064,127,1334,173,267,2055,835,50,1297,1213,1248,1125,,7,110,1251,,5,51,,358
48,175,1,208,68,1382,1011,341,821,171,128,1413,1613,910,4,32,2723,652,520,194,231,372,17,888,1556,701,156,227,135,0,284,70,72,3505,97,6199,496,38,418,63,68,1379,321,153,66,465,449,594,113,4,734,95,11,331,8,15,130,890,170,2537,3836,146,10,401,10,868,313,663,190,6198,263,3899,254,456,5252,1298,119,1553,87,141,1927,852,42,1090,963,1048,1042,,10,92,1124,,5,30,,419
49,143,3,310,58,717,1424,431,661,142,413,739,2673,806,1,32,2119,719,650,210,126,261,16,1151,1745,454,214,246,120,1,424,104,44,3581,150,4867,282,34,376,145,50,1571,374,156,33,497,300,914,107,13,596,374,29,224,15,34,106,911,198,2082,4204,115,156,388,12,734,342,521,306,6411,233,3030,583,540,4603,1383,117,1335,0,185,2498,1223,39,1023,924,909,939,,5,82,912,,4,50,,325
50,226,2,276,80,443,1349,384,687,51,80,822,5497,670,1,19,2126,620,381,494,169,279,39,820,3079,1012,365,397,137,0,228,122,92,3478,238,4324,205,41,362,130,76,1964,341,153,68,482,517,820,156,7,770,299,18,170,7,14,191,877,194,2486,3951,155,7,631,9,1061,381,657,468,5841,222,3116,315,455,4617,1318,170,1384,225,247,2678,1047,36,878,811,808,806,,11,65,864,,6,49,,464
51,317,1,235,74,1272,1035,993,728,102,79,744,2633,650,0,26,1980,950,378,205,72,218,28,910,4946,974,463,229,277,2,361,119,164,4124,198,5659,533,57,444,103,58,1328,327,183,61,613,304,937,173,11,604,371,34,208,13,10,136,784,169,2866,4694,111,55,936,11,1235,381,516,386,7099,227,4424,346,550,5599,1717,101,1409,439,203,3735,1425,53,777,708,731,783,,7,81,756,,9,37,,516
52,277,1,246,29,1263,1256,712,315,112,184,811,2641,234,1,-2,2219,646,508,353,229,374,29,626,2379,905,492,109,314,0,126,196,119,2207,102,6341,379,48,534,121,43,1083,188,237,75,676,235,944,157,5,565,14,21,231,7,14,78,861,142,3380,4092,80,27,577,11,1140,344,603,321,7933,285,3820,325,502,5525,1791,46,1684,318,354,3503,1515,26,703,641,590,616,,8,73,659,,5,50,,494
53,224,3,190,62,775,1431,473,455,217,120,440,405,770,3,47,2253,626,467,314,163,341,33,742,1590,1000,594,327,300,2,263,141,89,3327,219,8286,560,54,724,72,31,1019,175,123,75,606,281,844,152,5,804,391,26,334,10,16,155,905,131,3609,3153,101,16,377,4,1066,285,371,218,9623,196,3818,336,418,5850,1469,45,1429,336,297,5514,1349,13,577,541,547,563,,9,53,599,,1,37,,552
54,325,3,232,59,968,715,364,933,335,170,1339,2569,378,1,21,2563,690,302,208,170,710,20,883,1524,843,498,330,322,0,456,83,70,3515,118,10683,415,39,716,83,61,1595,281,122,62,563,251,715,194,1,623,155,24,460,8,7,59,913,180,2458,2972,119,0,701,1,750,316,918,401,10633,157,3836,168,366,4676,1436,20,1990,383,304,3379,1383,22,532,510,471,477,,8,42,505,,2,42,,473
55,254,1,254,38,803,2318,435,1064,139,80,885,785,693,3,31,3137,842,738,242,171,429,21,1741,1840,612,435,217,143,0,506,154,48,2150,180,6013,592,27,592,74,64,868,272,146,43,392,1275,754,151,8,885,196,15,346,27,9,48,933,217,1775,2667,45,28,386,4,729,422,412,303,10581,102,-713,155,487,4301,2046,29,1396,163,385,4613,1434,7,503,434,451,437,,5,39,460,,3,54,,482
